id,label,rank_mean,score_proxy,R0_missing_constraint,R1_duplication
poseidon_chain_t5.r1cs.seed003.uc.r1cs.json,1,31.4,31.4,,
poseidon_chain_t5.r1cs.seed004.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed004.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed004.uc.r1cs.json,1,31.7,31.7,,
poseidon_chain_t5.r1cs.seed004.uc.r1cs.json,1,31.7,31.7,,
poseidon_chain_t5.r1cs.seed005.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed005.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed005.uc.r1cs.json,1,31.4,31.4,,
poseidon_chain_t5.r1cs.seed005.uc.r1cs.json,1,31.4,31.4,,
poseidon_chain_t5.r1cs.seed006.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed006.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed006.uc.r1cs.json,1,30.3,30.3,,
poseidon_chain_t5.r1cs.seed006.uc.r1cs.json,1,30.3,30.3,,
poseidon_chain_t5.r1cs.seed007.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed007.ctrl.r1cs.json,0,32.0,32.0,,
poseidon_chain_t5.r1cs.seed007.uc.r1cs.json,1,30.1,30.1,,
poseidon_chain_t5.r1cs.seed007.uc.r1cs.json,1,30.1,30.1,,
range_check_32.r1cs.seed000.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed000.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed000.uc.r1cs.json,1,26.4,26.4,,
range_check_32.r1cs.seed000.uc.r1cs.json,1,26.4,26.4,,
range_check_32.r1cs.seed001.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed001.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed001.uc.r1cs.json,1,31.1,31.1,,
range_check_32.r1cs.seed001.uc.r1cs.json,1,31.1,31.1,,
range_check_32.r1cs.seed002.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed002.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed002.uc.r1cs.json,1,26.6,26.6,,
range_check_32.r1cs.seed002.uc.r1cs.json,1,26.6,26.6,,
range_check_32.r1cs.seed003.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed003.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed003.uc.r1cs.json,1,28.3,28.3,,
range_check_32.r1cs.seed003.uc.r1cs.json,1,28.3,28.3,,
range_check_32.r1cs.seed004.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed004.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed004.uc.r1cs.json,1,28.2,28.2,,
range_check_32.r1cs.seed004.uc.r1cs.json,1,28.2,28.2,,
range_check_32.r1cs.seed005.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed005.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed005.uc.r1cs.json,1,28.2,28.2,,
range_check_32.r1cs.seed005.uc.r1cs.json,1,28.2,28.2,,
range_check_32.r1cs.seed006.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed006.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed006.uc.r1cs.json,1,28.0,28.0,,
range_check_32.r1cs.seed006.uc.r1cs.json,1,28.0,28.0,,
range_check_32.r1cs.seed007.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed007.ctrl.r1cs.json,0,32.0,32.0,,
range_check_32.r1cs.seed007.uc.r1cs.json,1,29.3,29.3,,
range_check_32.r1cs.seed007.uc.r1cs.json,1,29.3,29.3,,
tiny_add.r1cs.seed000.ctrl.r1cs.json,0,2.0,2.0,False,
tiny_add.r1cs.seed000.uc.r1cs.json,1,1.0,1.0,True,True
tiny_add.r1cs.seed001.ctrl.r1cs.json,0,2.0,2.0,,
tiny_add.r1cs.seed001.uc.r1cs.json,1,1.0,1.0,,True
tiny_add.r1cs.seed002.ctrl.r1cs.json,0,2.0,2.0,,
tiny_add.r1cs.seed002.uc.r1cs.json,1,1.0,1.0,,
tiny_add.r1cs.seed003.ctrl.r1cs.json,0,2.0,2.0,,
tiny_add.r1cs.seed003.uc.r1cs.json,1,1.0,1.0,,
tiny_add.r1cs.seed004.ctrl.r1cs.json,0,2.0,2.0,,
tiny_add.r1cs.seed004.uc.r1cs.json,1,1.0,1.0,,
tiny_add.r1cs.seed005.ctrl.r1cs.json,0,2.0,2.0,,
tiny_add.r1cs.seed005.uc.r1cs.json,1,1.0,1.0,,
